,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,N04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N13,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N14,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N15,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N16,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N17,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N18,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N19,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N20,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N21,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N22,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N23,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,N24,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O01,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O02,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O03,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O04,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O05,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O06,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O07,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O08,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O09,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O10,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O11,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O12,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O13,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O14,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O15,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O16,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O17,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
,O18,SYBR,,Unkn,,,NaN,0,0,NaN,NaN,0,0,60,
